Status_des_Girokontos,Dauer_in_Monaten,Kreditgeschichte,Kreditverwendungszweck,Kreditbetrag,Sparkonto_Wertpapiere,Beschäftigt_seit,Ratenhöhe,Familienstand_Geschlecht,Weitere_Bürgen_Schuldner,Wohnsitzdauer,Vermögen,Alter,Andere_Ratenverpflichtungen,Wohnsituation,Anzahl_bestehender_Kredite,Beruf,Unterhaltspflichtige_Personen,Telefon,Ausländischer_Arbeiter,Ziel
0 <= ... < 200 DM,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,1301,... < 100 DM,.. >= 7 Jahre,4,männlich : verheiratet/witwer,Bürge,2,Immobilie,32,Keine,Eigentum,1,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,6,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),1323,100 <= ... < 500 DM,.. >= 7 Jahre,2,männlich : geschieden/getrennt,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",28,Keine,Eigentum,2,gelernt - Angestellter/Beamter,2,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),3123,... < 100 DM,... < 1 Jahr,4,weiblich : geschieden/getrennt/verheiratet,keine,1,wenn nicht A121: Bausparvertrag/Lebensversicherung,27,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
... < 0 DM,36,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (gebraucht),5493,... < 100 DM,.. >= 7 Jahre,2,männlich : ledig,keine,4,unbekannt/kein Eigentum,42,Keine,kostenlos,1,gelernt - Angestellter/Beamter,2,kein Telefon,ja,guter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,9,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,1126,100 <= ... < 500 DM,.. >= 7 Jahre,2,männlich : geschieden/getrennt,keine,4,Immobilie,49,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,24,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,1216,100 <= ... < 500 DM,... < 1 Jahr,4,männlich : ledig,keine,4,unbekannt/kein Eigentum,38,Bank,Eigentum,2,gelernt - Angestellter/Beamter,2,kein Telefon,ja,schlechter Kredit
... < 0 DM,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),1207,... < 100 DM,... < 1 Jahr,4,weiblich : geschieden/getrennt/verheiratet,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,24,Keine,Miete,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,10,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),1309,unbekannt/kein Sparkonto,1 <= ... < 4 Jahre,4,männlich : ledig,Bürge,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,27,Keine,Eigentum,1,ungelernt - ansässig,1,kein Telefon,ja,schlechter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,15,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (gebraucht),2360,500 <= ... < 1000 DM,1 <= ... < 4 Jahre,2,männlich : ledig,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",36,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,15,alle Kredite bei dieser Bank wurden ordnungsgemäß zurückgezahlt,Auto (neu),6850,100 <= ... < 500 DM,arbeitslos,1,männlich : ledig,keine,2,wenn nicht A121: Bausparvertrag/Lebensversicherung,34,Keine,Eigentum,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,2,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
kein Girokonto,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,1413,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : verheiratet/witwer,keine,2,wenn nicht A121: Bausparvertrag/Lebensversicherung,28,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,39,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (gebraucht),8588,100 <= ... < 500 DM,.. >= 7 Jahre,4,männlich : ledig,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",45,Keine,Eigentum,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),759,... < 100 DM,4 <= ... < 7 Jahre,4,männlich : ledig,keine,2,Immobilie,26,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,36,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (gebraucht),4686,... < 100 DM,1 <= ... < 4 Jahre,2,männlich : ledig,keine,2,unbekannt/kein Eigentum,32,Keine,kostenlos,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,15,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Geschäft,2687,... < 100 DM,4 <= ... < 7 Jahre,2,männlich : ledig,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,26,Keine,Miete,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,12,Verzögerungen bei der Rückzahlung in der Vergangenheit,Radio/TV,585,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : verheiratet/witwer,Mit-Antragsteller,4,Immobilie,20,Keine,Miete,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),2255,unbekannt/kein Sparkonto,... < 1 Jahr,4,männlich : ledig,keine,1,wenn nicht A121: Bausparvertrag/Lebensversicherung,54,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,6,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),609,... < 100 DM,4 <= ... < 7 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,3,wenn nicht A121: Bausparvertrag/Lebensversicherung,37,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,nein,guter Kredit
... < 0 DM,6,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),1361,... < 100 DM,... < 1 Jahr,2,männlich : ledig,keine,4,Immobilie,40,Keine,Eigentum,1,ungelernt - ansässig,2,kein Telefon,nein,guter Kredit
kein Girokonto,36,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Möbel/Ausstattung,7127,... < 100 DM,... < 1 Jahr,2,weiblich : geschieden/getrennt/verheiratet,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,23,Keine,Miete,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
... < 0 DM,6,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),1203,100 <= ... < 500 DM,.. >= 7 Jahre,3,männlich : ledig,keine,2,wenn nicht A121: Bausparvertrag/Lebensversicherung,43,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,6,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,700,unbekannt/kein Sparkonto,.. >= 7 Jahre,4,männlich : ledig,keine,4,unbekannt/kein Eigentum,36,Keine,kostenlos,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,24,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Reparaturen,5507,... < 100 DM,.. >= 7 Jahre,3,männlich : ledig,keine,4,unbekannt/kein Eigentum,44,Keine,kostenlos,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,3190,... < 100 DM,1 <= ... < 4 Jahre,2,weiblich : geschieden/getrennt/verheiratet,keine,2,Immobilie,24,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
... < 0 DM,48,keine Kredite aufgenommen / alle Kredite wurden ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,7119,... < 100 DM,1 <= ... < 4 Jahre,3,männlich : ledig,keine,4,unbekannt/kein Eigentum,53,Keine,kostenlos,2,gelernt - Angestellter/Beamter,2,kein Telefon,ja,schlechter Kredit
kein Girokonto,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (gebraucht),3488,100 <= ... < 500 DM,4 <= ... < 7 Jahre,3,weiblich : geschieden/getrennt/verheiratet,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",23,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,1113,... < 100 DM,1 <= ... < 4 Jahre,4,weiblich : geschieden/getrennt/verheiratet,Bürge,4,Immobilie,26,Keine,Eigentum,1,ungelernt - ansässig,2,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,26,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (gebraucht),7966,... < 100 DM,... < 1 Jahr,2,männlich : ledig,keine,3,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",30,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,15,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Ausbildung,1532,100 <= ... < 500 DM,1 <= ... < 4 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,3,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",31,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,4,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,1503,... < 100 DM,4 <= ... < 7 Jahre,2,männlich : ledig,keine,1,Immobilie,42,Keine,Eigentum,2,ungelernt - ansässig,2,kein Telefon,ja,guter Kredit
... < 0 DM,36,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,2302,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : geschieden/getrennt,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",31,Keine,Miete,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
... < 0 DM,6,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),662,... < 100 DM,... < 1 Jahr,3,männlich : ledig,keine,4,Immobilie,41,Keine,Eigentum,1,ungelernt - ansässig,2,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,36,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Ausbildung,2273,... < 100 DM,4 <= ... < 7 Jahre,3,männlich : ledig,keine,1,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",32,Keine,Eigentum,2,gelernt - Angestellter/Beamter,2,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,15,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),2631,100 <= ... < 500 DM,1 <= ... < 4 Jahre,2,weiblich : geschieden/getrennt/verheiratet,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",28,Keine,Miete,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
kein Girokonto,12,Verzögerungen bei der Rückzahlung in der Vergangenheit,Auto (gebraucht),1503,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : verheiratet/witwer,keine,4,Immobilie,41,Keine,Miete,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,1311,100 <= ... < 500 DM,4 <= ... < 7 Jahre,4,männlich : verheiratet/witwer,keine,3,wenn nicht A121: Bausparvertrag/Lebensversicherung,26,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,3105,unbekannt/kein Sparkonto,... < 1 Jahr,4,männlich : ledig,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",25,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,21,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Ausbildung,2319,... < 100 DM,... < 1 Jahr,2,männlich : geschieden/getrennt,keine,1,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",33,Keine,Miete,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
... < 0 DM,6,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),1374,unbekannt/kein Sparkonto,arbeitslos,4,weiblich : geschieden/getrennt/verheiratet,keine,3,wenn nicht A121: Bausparvertrag/Lebensversicherung,75,Keine,Eigentum,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,18,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Möbel/Ausstattung,3612,... < 100 DM,.. >= 7 Jahre,3,weiblich : geschieden/getrennt/verheiratet,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,37,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,48,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),7763,... < 100 DM,.. >= 7 Jahre,4,männlich : ledig,keine,4,unbekannt/kein Eigentum,42,Bank,kostenlos,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,3049,... < 100 DM,... < 1 Jahr,1,weiblich : geschieden/getrennt/verheiratet,keine,1,wenn nicht A121: Bausparvertrag/Lebensversicherung,45,Läden,Eigentum,1,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,1534,... < 100 DM,... < 1 Jahr,1,männlich : verheiratet/witwer,keine,1,Immobilie,23,Keine,Miete,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,24,Verzögerungen bei der Rückzahlung in der Vergangenheit,Auto (neu),2032,... < 100 DM,.. >= 7 Jahre,4,männlich : ledig,keine,4,unbekannt/kein Eigentum,60,Keine,kostenlos,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,30,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,6350,unbekannt/kein Sparkonto,.. >= 7 Jahre,4,männlich : ledig,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,31,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,2864,... < 100 DM,1 <= ... < 4 Jahre,2,männlich : ledig,keine,1,Immobilie,34,Keine,Eigentum,1,ungelernt - ansässig,2,kein Telefon,ja,schlechter Kredit
kein Girokonto,12,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),1255,... < 100 DM,.. >= 7 Jahre,4,männlich : ledig,keine,4,Immobilie,61,Keine,Eigentum,2,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
... < 0 DM,24,Verzögerungen bei der Rückzahlung in der Vergangenheit,Auto (neu),1333,... < 100 DM,arbeitslos,4,männlich : ledig,keine,2,Immobilie,43,Keine,kostenlos,2,gelernt - Angestellter/Beamter,2,kein Telefon,ja,schlechter Kredit
kein Girokonto,24,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),2022,... < 100 DM,1 <= ... < 4 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",37,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,1552,... < 100 DM,4 <= ... < 7 Jahre,3,männlich : ledig,keine,1,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",32,Bank,Eigentum,1,gelernt - Angestellter/Beamter,2,kein Telefon,ja,guter Kredit
... < 0 DM,12,alle Kredite bei dieser Bank wurden ordnungsgemäß zurückgezahlt,Radio/TV,626,... < 100 DM,1 <= ... < 4 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,4,Immobilie,24,Bank,Eigentum,1,ungelernt - ansässig,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,48,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (gebraucht),8858,unbekannt/kein Sparkonto,4 <= ... < 7 Jahre,2,männlich : ledig,keine,1,unbekannt/kein Eigentum,35,Keine,kostenlos,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,12,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Reparaturen,996,unbekannt/kein Sparkonto,4 <= ... < 7 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,4,Immobilie,23,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,6,alle Kredite bei dieser Bank wurden ordnungsgemäß zurückgezahlt,Radio/TV,1750,500 <= ... < 1000 DM,.. >= 7 Jahre,2,männlich : ledig,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,45,Bank,Eigentum,1,ungelernt - ansässig,2,kein Telefon,ja,guter Kredit
... < 0 DM,48,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,6999,... < 100 DM,4 <= ... < 7 Jahre,1,männlich : verheiratet/witwer,Bürge,1,Immobilie,34,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
0 <= ... < 200 DM,12,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),1995,100 <= ... < 500 DM,... < 1 Jahr,4,männlich : ledig,keine,1,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",27,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,9,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Ausbildung,1199,... < 100 DM,4 <= ... < 7 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,67,Keine,Eigentum,2,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,1331,... < 100 DM,... < 1 Jahr,2,männlich : ledig,keine,1,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",22,Läden,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
0 <= ... < 200 DM,18,keine Kredite aufgenommen / alle Kredite wurden ordnungsgemäß zurückgezahlt,Auto (neu),2278,100 <= ... < 500 DM,... < 1 Jahr,3,weiblich : geschieden/getrennt/verheiratet,keine,3,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",28,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,21,keine Kredite aufgenommen / alle Kredite wurden ordnungsgemäß zurückgezahlt,Auto (neu),5003,unbekannt/kein Sparkonto,1 <= ... < 4 Jahre,1,weiblich : geschieden/getrennt/verheiratet,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,29,Bank,Eigentum,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
... < 0 DM,24,alle Kredite bei dieser Bank wurden ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,3552,... < 100 DM,4 <= ... < 7 Jahre,3,männlich : ledig,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",27,Bank,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
0 <= ... < 200 DM,18,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Möbel/Ausstattung,1928,... < 100 DM,... < 1 Jahr,2,männlich : ledig,keine,2,Immobilie,31,Keine,Eigentum,2,ungelernt - ansässig,1,kein Telefon,ja,schlechter Kredit
... < 0 DM,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (gebraucht),2964,unbekannt/kein Sparkonto,.. >= 7 Jahre,4,männlich : ledig,keine,4,unbekannt/kein Eigentum,49,Bank,kostenlos,1,gelernt - Angestellter/Beamter,2,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,24,alle Kredite bei dieser Bank wurden ordnungsgemäß zurückgezahlt,Radio/TV,1546,... < 100 DM,4 <= ... < 7 Jahre,4,männlich : ledig,Bürge,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",24,Bank,Miete,1,ungelernt - ansässig,1,kein Telefon,ja,schlechter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,6,Verzögerungen bei der Rückzahlung in der Vergangenheit,Radio/TV,683,... < 100 DM,... < 1 Jahr,2,weiblich : geschieden/getrennt/verheiratet,keine,1,wenn nicht A121: Bausparvertrag/Lebensversicherung,29,Bank,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,36,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),12389,unbekannt/kein Sparkonto,1 <= ... < 4 Jahre,1,männlich : ledig,keine,4,unbekannt/kein Eigentum,37,Keine,kostenlos,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
0 <= ... < 200 DM,24,Verzögerungen bei der Rückzahlung in der Vergangenheit,Geschäft,4712,unbekannt/kein Sparkonto,1 <= ... < 4 Jahre,4,männlich : ledig,keine,2,wenn nicht A121: Bausparvertrag/Lebensversicherung,37,Bank,Eigentum,2,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,24,Verzögerungen bei der Rückzahlung in der Vergangenheit,Radio/TV,1553,100 <= ... < 500 DM,4 <= ... < 7 Jahre,3,weiblich : geschieden/getrennt/verheiratet,keine,2,wenn nicht A121: Bausparvertrag/Lebensversicherung,23,Keine,Miete,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),1372,... < 100 DM,4 <= ... < 7 Jahre,2,männlich : geschieden/getrennt,keine,3,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",36,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,24,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,2578,.. >= 1000 DM,.. >= 7 Jahre,2,männlich : ledig,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",34,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,48,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,3979,unbekannt/kein Sparkonto,4 <= ... < 7 Jahre,4,männlich : ledig,keine,1,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",41,Keine,Eigentum,2,gelernt - Angestellter/Beamter,2,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,48,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,6758,... < 100 DM,1 <= ... < 4 Jahre,3,weiblich : geschieden/getrennt/verheiratet,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",31,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
... < 0 DM,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,3234,... < 100 DM,... < 1 Jahr,4,weiblich : geschieden/getrennt/verheiratet,keine,4,Immobilie,23,Keine,Miete,1,ungelernt - ansässig,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
kein Girokonto,30,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,5954,... < 100 DM,4 <= ... < 7 Jahre,3,männlich : ledig,Mit-Antragsteller,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",38,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (gebraucht),5433,unbekannt/kein Sparkonto,arbeitslos,2,weiblich : geschieden/getrennt/verheiratet,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,26,Keine,Miete,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,15,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Geschäft,806,... < 100 DM,1 <= ... < 4 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,22,Keine,Eigentum,1,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,9,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,1082,... < 100 DM,.. >= 7 Jahre,4,männlich : ledig,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",27,Keine,Eigentum,2,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
kein Girokonto,15,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Möbel/Ausstattung,2788,... < 100 DM,4 <= ... < 7 Jahre,2,weiblich : geschieden/getrennt/verheiratet,Mit-Antragsteller,3,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",24,Bank,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
